

            List of variables on the working file

Name     Position  Label
V96            96  EINKOMMENSDIFFERENZ ERHOEHT MOTIVATION
V97            97  RANGUNTERSCHIEDE SIND AKZEPTABEL
V98            98  SOZIALE UNTERSCHIEDE SIND GERECHT
V99            99  BILDUNGSMOEGL.I.D.BRD:JEDER N.S.BEGABUNG
V100          100  POLITISCHES INTERESSE, BEFR. <ORDINAL>
V101          101  WICHTIGKEIT VON RUHE UND ORDNUNG
V102          102  WICHTIGKEIT VON BUERGEREINFLUSS
V103          103  WICHTIGKEIT DER INFLATIONSBEKAEMPFUNG
V104          104  WICHTIGKEIT V. FREIER MEINUNGSAEUSSERUNG
V105          105  INGLEHART-INDEX
V106          106  LINKS-RECHTS-SELBSTEINSTUFUNG, BEFR.
V107          107  LINKS-RECHTS-PARTEIEINSTUFUNG, CDU
V108          108  LINKS-RECHTS-PARTEIEINSTUFUNG, CSU
V109          109  LINKS-RECHTS-PARTEIEINSTUFUNG, SPD
V110          110  LINKS-RECHTS-PARTEIEINSTUFUNG, FDP
V111          111  LINKS-RECHTS-PARTEIEINSTUFUNG, LINKE
V112          112  LINKS-RECHTS-PARTEIEINSTUFUNG, GRUENE
V113          113  LINKS-RECHTS-PARTEIEINSTUFUNG, NPD
V114          114  BERUFST.FRAU: HERZL. VERHAELT. ZUM KIND
V115          115  FRAU, LIEBER MANN BEI D.KARRIERE HELFEN?
V116          116  FRAU, NICHT ARBEITEN BEI KLEINKIND?
V117          117  FRAU, ZU HAUSE BLEIBEN+KINDER VERSORGEN?
V118          118  FRAU, BESSERE MUTTER BEI BERUFSTAETIGK.?
V119          119  FRAU, NACH HEIRAT ARBEITSPL. FREIMACHEN?
V120          120  SUBJEKTIVE SCHICHTEINSTUFUNG, BEFR.
V121          121  GERECHTER ANTEIL A.LEBENSSTANDARD,BEFR.?
V122          122  LAGEVERSCHLECHTERUNG FUER EINFACHE LEUTE
V123          123  BEI DIESER ZUKUNFT KEINE KINDER MEHR
V124          124  POLITIKER UNINTERESSIERT AN EINF.LEUTEN
V125          125  MEHRHEIT UNINTERESSIERT AN MITMENSCHEN
V126          126  VERTRAUEN ZU MITMENSCHEN
V127          127  VERTRAUEN ZU VERWANDTEN
V128          128  VERTRAUEN ZU FREUNDEN
V129          129  VERTRAUEN ZU BEKANNTEN
V130          130  VERTRAUEN ZU FREMDEN PERSONEN
V131          131  WAHRSCHEINLICHKEIT: CDU-CSU WAEHLEN
V132          132  WAHRSCHEINLICHKEIT: SPD WAEHLEN
V133          133  WAHRSCHEINLICHKEIT: FDP WAEHLEN
V134          134  WAHRSCHEINL.: BUENDNIS 90-GRUENE WAEHLEN
V135          135  WAHRSCHEINLICHKEIT: DIE LINKE WAEHLEN
V136          136  WAHRSCHEINLICHKEIT: NPD WAEHLEN
V137          137  BEFR.: STAATSBUERGERSCHAFT, 1. NENNUNG
V138          138  BEFR.: STAATSBUERGERSCHAFT, 2. NENNUNG
V139          139  BEFR.: STAATSBUERGERSCHAFT, 3. NENNUNG
V140          140  BEFR.: ZAHL DER STAATSBUERGERSCHAFTEN
V141          141  ZUSTIMMUNG: STOLZ, DEUTSCHER ZU SEIN
V142          142  ZUSTIMMUNG: MEHR MUT ZU NATIONALGEFUEHL
V143          143  ZUSTIMMUNG: DIKTATUR MANCHMAL BESSER
V144          144  ZUSTIMM.: NATIONALSOZ. HATTE GUTE SEITEN
V145          145  ZUSTIMM.: HITLER OHNE HOLOCAUST POSITIV
V146          146  ZUSTIMMUNG: BRD GEFAEHRLICH UEBERFREMDET
V147          147  ZUSTIMM.: AUSLAENDER LANDSLEUTE HEIRATEN
V148          148  ZUSTIMMUNG: EINFLUSS VON JUDEN ZU GROSS
V149          149  ZUSTIMMUNG: JUDEN SIND EIGENTUEMLICH
V150          150  ZUSTIMMUNG: ANSCHLAEGE ASYLBEWERBERHEIME
V151          151  GESCHLECHT, BEFRAGTE<R>
V152          152  GEBURTSMONAT: BEFRAGTE<R>
V153          153  GEBURTSJAHR: BEFRAGTE<R>
V154          154  ALTER: BEFRAGTE<R>
V155          155  ALTER: BEFRAGTE<R>, KATEGORISIERT
V156          156  GEBURT IM HEUTIGEN DEUTSCHLAND?
V157          157  IMMIGRANT: SEIT WANN IN DEUTSCHLAND,JAHR
V158          158  IMMIGRANT: SEIT WANN IN DEUTSCHLAND,KAT.
V159          159  IMMIGRANT: WIEVIEL JAHRE IN DEUTSCHLAND?
V160          160  IMMIGRANT: JAHRE IN DEUTSCHLAND? KAT.
V161          161  BUNDESLAND, WO BEFRAGTER IN JUGEND LEBTE
V162          162  LAND, WO BEFRAGTER IN DER JUGEND LEBTE
V163          163  BIN STOLZ AUF: GRUNDGESETZ
V164          164  BIN STOLZ AUF: BUNDESTAG
V165          165  BIN STOLZ AUF: DEUTSCHE SPORTLER
V166          166  BIN STOLZ AUF: DT. WIRTSCHAFTL. ERFOLG
V167          167  BIN STOLZ AUF: DEUTSCHE KUNST,LITERATUR
V168          168  BIN STOLZ AUF: DT.WISSENSCHAFTL.LEISTUNG
V169          169  BIN STOLZ AUF: DT.SOZIALSTAATL.LEISTUNG
V170          170  BIN STOLZ AUF: AN ERSTER STELLE
V171          171  BIN STOLZ AUF: AN ZWEITER STELLE
V172          172  BIN STOLZ AUF: AN DRITTER STELLE
V173          173  ALLGEMEINER SCHULABSCHLUSS
V174          174  BEFR.: BERUFLICH-BETRIEBL. ANLERNZEIT
V175          175  BEFR.: TEILFACHARBEITERABSCHLUSS
V176          176  BEFR.: GEWERBLICHE, LANDWIRTSCH. LEHRE
V177          177  BEFR.: KAUFMAENNISCHE LEHRE
V178          178  BEFR.: BERUFL. PRAKTIKUM, VOLONTARIAT
V179          179  BEFR.: BERUFSFACHSCHULABSCHLUSS
V180          180  BEFR.: FACHSCHULABSCHLUSS
V181          181  BEFR.: MEISTER, TECHNIKERABSCHLUSS
V182          182  BEFR.: FACHHOCHSCHULABSCHLUSS
V183          183  BEFR.: HOCHSCHULABSCHLUSS
V184          184  BEFR.:ANDERER BERUFSAUSBILDUNGSABSCHLUSS
V185          185  BEFR.: KEIN BERUFL. AUSBILDUNGSABSCHLUSS
V186          186  BEFRAGTE<R> BERUFSTAETIG?
V187          187  BEFR.: JETZIGE BERUFLICHE STELLUNG
V188          188  BEFR.: JETZIGE BERUFL.STELLUNG,KENNZIFF.
V189          189  BEFR.: JETZIGER BERUF; ISCO 1968
V190          190  BEFR.: JETZIGE BERUFSUNTERGRUPPE I68
V191          191  BEFR.: JETZIGE BERUFSHAUPTGRUPPE I68
V192          192  BEFR.: JETZIGES TREIMANPRESTIGE I68
V193          193  BEFR.: JETZIG. TREIMANPRESTIGE I68, KAT.
V194          194  BEFR.: JETZIGES MAGNITUDEPRESTIGE I68
V195          195  BEFR.: JETZIGES MAGNITUDEPRES. I68, KAT.
V196          196  BEFR.: ISEI NACH GANZEBOOM I68
V197          197  BEFR.: ISEI NACH GANZEBOOM I68, KATEG.
V198          198  GOLDTHORPEKLASSEN,GEGENW.BERUF,BEFR. I68
V199          199  BEFR.: JETZIGER BERUF; ISCO 1988
V200          200  BEFR.: JETZIGER BERUF; SIOPS I88
V201          201  BEFR.: JETZIGER BERUF; SIOPS I88, KATEG.
V202          202  BEFR.: JETZIGES MAGNITUDEPRESTIGE I88
V203          203  BEFR.: JETZIGES MAGNITUDEPRES. I88, KAT.
V204          204  BEFR.: ISEI NACH GANZEBOOM I88
V205          205  BEFR.: ISEI NACH GANZEBOOM I88, KATEG.
V206          206  IM OEFFENTLICHEN DIENST TAETIG?
V207          207  BEFRAGTER: ARBEITSSTUNDEN PRO WOCHE
V208          208  BEFR.: ARBEITSSTUNDEN PRO WOCHE, KATEG.
V209          209  ANZAHL,BESCHAEFTIGTE B.D. ARBEITSSTELLE
V210          210  ANZAHL,BESCHAEFTIGTE, KATEGORISIERT
V211          211  BERUFLICHE AUFSICHTSFUNKTION, BEFR.?
V212          212  FURCHT: STELLUNGSVERLUST, ARBEITNEHMER
V213          213  FURCHT: BETRIEBSVERLUST, SELBSTAENDIGE
V214          214  BERUFST.: ARBEITSLOS I.D. LETZTEN 10 J.?
V215          215  DAUER DER ARBEITSLOSIGKEIT IN WOCHEN
V216          216  DAUER DER ARBEITSLOSIGKEIT, KATEGORIS.
V217          217  BEFR.:NEBENERWERB; ARBEITSSTD. PRO WOCHE
V218          218  BEFR.: NEBENERWERB; ARBEITSSTUNDEN, KAT.
V219          219  BEFR.: STATUS DER NICHTERWERBSTAETIGKEIT
V220          220  BEFR.: BIS WANN BERUFSTAETIG GEWESEN?
V221          221  BEFR.: WANN AUFGABE DES BERUFS, KATEG.
V222          222  BEFR.: LETZTE BERUFLICHE STELLUNG
V223          223  BEFR.: LETZTE BERUFL.STELL., KENNZIFFER
V224          224  BEFR.: LETZTER BERUF; ISCO 1968
V225          225  BEFR.: LETZTE BERUFSUNTERGRUPPE I68
V226          226  BEFR.: LETZTE BERUFSHAUPTGRUPPE I68
V227          227  BEFR.: TREIMANPRESTIGE, LETZT. BERUF I68
V228          228  BEFR.: TREIMANPREST.,LETZT.BERUF,KAT.I68
V229          229  BEFR.: MAGNITUDEPRES., LETZTER BERUF I68
V230          230  BEFR.:MAGNITUDEPRES.,LETZT.BERUF,KAT.I68
V231          231  BEFR.: ISEI GANZEBOOM, LETZTER BERUF I68
V232          232  BEFR.: ISEI, LETZTER BERUF I68, KATEG.
V233          233  GOLDTHORPEKLASSEN,EHEMAL.BERUF,BEFR. I68
V234          234  BEFR.: LETZTER BERUF; ISCO 1988
V235          235  BEFR.: LETZTER BERUF; SIOPS I88
V236          236  BEFR.: LETZTER BERUF; SIOPS I88, KATEG.
V237          237  BEFR.: MAGNITUDEPRES., LETZTER BERUF I88
V238          238  BEFR.:MAGNITUDEPRES.,LETZT.BERUF,KAT.I88
V239          239  BEFR.: ISEI GANZEBOOM, LETZTER BERUF I88
V240          240  BEFR.: ISEI, LETZTER BERUF I88, KATEG.
V241          241  ANZ. BESCHAEFTIGTE, LETZTE ARBEITSSTELLE
V242          242  ANZ. BESCHAEFTIGTE, LETZTE ARBEIT, KAT.
V243          243  NICHTBERUFST.:EHEDEM ARBEITSLOS GEWESEN?
V244          244  ARBEITSLOS:EHEDEM ARBEITSLOS GEWESEN?
V245          245  DAUER <EHEMALIGER> ARBEITSLOSIGKEIT
V246          246  DAUER <EHEMALIGER> ARBEITSLOSIGKEIT,KAT.
V247          247  GESUNDHEITSZUSTAND BEFR.
V248          248  FAMILIENSTAND, BEFRAGTE<R>
V249          249  GEGENWAERTIGER EHEPARTNER: GEBURTSMONAT
V250          250  GEGENWAERTIGER EHEPARTNER: GEBURTSJAHR
V251          251  GEGENWAERTIGER EHEPARTNER: ALTER
V252          252  GEGENWAERTIGER EHEPARTNER: ALTER, KAT.
V253          253  GEGENW.EHEP.: ALLGEMEIN.SCHULABSCHLUSS
V254          254  GEGENW.EHEP.: BERUFL.-BETR. ANLERNZEIT
V255          255  GEGENW.EHEP.: TEILFACHARBEITERABSCHLUSS
V256          256  GEGENW.EHEP.: GEWERBL.-,LANDWIRT. LEHRE
V257          257  GEGENW.EHEP.: KAUFMAENNISCHE LEHRE
V258          258  GEGENW.EHEP.: BERUFL.PRAKTIKUM, VOLONT.
V259          259  GEGENW.EHEP.: BERUFSFACHSCHULABSCHLUSS
V260          260  GEGENW.EHEP.: FACHSCHULABSCHLUSS
V261          261  GEGENW.EHEP.: MEISTER-,TECHNIKERABSCHL.
V262          262  GEGENW.EHEP.: FACHHOCHSCHULABSCHLUSS
V263          263  GEGENW.EHEP.: HOCHSCHULABSCHLUSS
V264          264  GEGENW.EHEP.: ANDERER BERUFL.ABSCHLUSS
V265          265  GEGENW.EHEP.: KEIN BERUFL.ABSCHLUSS
V266          266  GEGENWAERTIGER EHEP. BERUFSTAETIG?
V267          267  GEGENW.EHEP.: JETZIGE BERUFL. STELLUNG
V268          268  GEGENW.EHEP.: JETZIGE BERUFL.STELLUNG,KZ
V269          269  GEGENW.EHEP.: JETZIGER BERUF; ISCO 1968
V270          270  GEGENW.EHEP.: JETZIGE BERUFSUNTERGR. I68
V271          271  GEGENW.EHEP.: JETZIGE BERUFSHAUPTGR. I68
V272          272  GEGENW.EHEP.:JETZIG.TREIMANPRESTIGE I68
V273          273  GEGENW.EHEP.:JETZIG.TREIMANPRES.I68,KAT.
V274          274  GEGENW.EHEP.: JETZIG. MAGNITUDEPREST.I68
V275          275  GEGENW.EHEP.: JETZIG.MAGNITUDEPR.I68,KAT
V276          276  GEGENW.EHEP.: ISEI NACH GANZEBOOM I68
V277          277  GEGENW.EHEP.: ISEI GANZEBOOM I68, KATEG.
V278          278  GOLDTHORPEKLASSEN, GEGENW.BERUF,EHEP.I68
V279          279  GEGENW.EHEP.: JETZIGER BERUF; ISCO 1988
V280          280  GEGENW.EHEP.: SIOPS I88
V281          281  GEGENW.EHEP.: SIOPS I88, KATEGORISIERT
V282          282  GEGENW.EHEP.: JETZIG. MAGNITUDEPREST.I88
V283          283  GEGENW.EHEP.: JETZIG.MAGNITUDEPR.I88,KAT
V284          284  GEGENW.EHEP.: ISEI NACH GANZEBOOM I88
V285          285  GEGENW.EHEP.: ISEI GANZEBOOM I88, KATEG.
V286          286  EHEP.: IM OEFFENTLICHEN DIENST TAETIG?
V287          287  FURCHT V.STELLUNGSGEFAEHRD.,GEGENW.EHEP.
V288          288  FURCHT VOR BETRIEBSVERLUST, GEGENW.EHEP.
V289          289  EHEP.: STATUS DER NICHTERWERBSTAETIGKEIT
V290          290  HABEN SIE EINEN FESTEN LEBENSPARTNER?
V291          291  LEBENSPARTNER: GEMEINSAMER HAUSHALT?
V292          292  LEBENSPARTNER: GEBURTSMONAT
V293          293  LEBENSPARTNER: GEBURTSJAHR
V294          294  LEBENSPARTNER: ALTER
V295          295  LEBENSPARTNER: ALTER, KAT.
V296          296  LEBENSPARTNER: ALLG.SCHULABSCHLUSS
V297          297  LEBENSPARTNER: BERUFL.-BETR. ANLERNZEIT
V298          298  LEBENSPARTNER: TEILFACHARBEITERABSCHLUSS
V299          299  LEBENSPARTNER: GEWERB.-,LANDWIRT. LEHRE
V300          300  LEBENSPARTNER: KAUFMAENNISCHE LEHRE
V301          301  LEBENSPARTNER: BERUFL.PRAKTIKUM, VOLONT.
V302          302  LEBENSPARTNER: BERUFSFACHSCHULABSCHLUSS
V303          303  LEBENSPARTNER: FACHSCHULABSCHLUSS
V304          304  LEBENSPARTNER: MEISTER-,TECHNIKERABSCHL.
V305          305  LEBENSPARTNER: FACHHOCHSCHULABSCHLUSS
V306          306  LEBENSPARTNER: HOCHSCHULABSCHLUSS
V307          307  LEBENSPARTNER: ANDERER BERUFL.ABSCHLUSS
V308          308  LEBENSPARTNER: KEINEN BERUFL. ABSCHLUSS
V309          309  LEBENSPARTNER: BERUFSTAETIG?
V310          310  LEBENSPARTNER: JETZIGE BERUFL.STELLUNG
V311          311  LEBENSP.:JETZIGE BERUFL.STELL.KENNZIFFER
V312          312  LEBENSPARTNER: JETZIGER BERUF; ISCO 1968
V313          313  LEBENSP.: JETZIGE BERUFSUNTERGRUPPE I68
V314          314  LEBENSP.: JETZIGE BERUFSHAUPTGRUPPE I68
V315          315  LEBENSP.: JETZIGES TREIMANPRESTIGE I68
V316          316  LEBENSP.: JETZIG.TREIMANPRESTIGE I68,KAT
V317          317  LEBENSP.: JETZIGES MAGNITUDEPRESTIGE I68
V318          318  LEBENSP.: JETZIG.MAGNITUDEPREST.I68,KAT.
V319          319  LEBENSPARTNER: ISEI NACH GANZEBOOM I68
V320          320  LEBENSPARTNER: ISEI GANZEBOOM I68, KAT.
V321          321  GOLDTHORPEKL., GEGENW.BERUF, PARTNER I68
V322          322  LEBENSPARTNER: JETZIGER BERUF; ISCO 1988
V323          323  LEBENSPARTNER: SIOPS I88
V324          324  LEBENSPARTNER: SIOPS I88, KATEGORISIERT
V325          325  LEBENSP.: JETZIGES MAGNITUDEPRESTIGE I88
V326          326  LEBENSP.: JETZIG.MAGNITUDEPREST.I88,KAT.
V327          327  LEBENSPARTNER: ISEI NACH GANZEBOOM I88
V328          328  LEBENSPARTNER: ISEI GANZEBOOM I88, KAT.
V329          329  LEBENSP: IM OEFFENTLICHEN DIENST TAETIG?
V330          330  FURCHT V.STELLUNGSGEFAEHRD., LEBENSP.
V331          331  FURCHT VOR BETRIEBSVERLUST, LEBENSP.
V332          332  LEBENSP: STATUS D.NICHTERWERBSTAETIGKEIT
V333          333  WIE VIELE ARBEITSLOSE VERWANDTE+FREUNDE
V334          334  WIE VIELE ARBEITSLOSE IN GEMEINDE,STADT
V335          335  ELTERN: DAMALS MIT BEFR. ZUSAMMENGELEBT
V336          336  VATER: BERUFLICHE STELLUNG
V337          337  VATER: BERUFLICHE STELLUNG, KENNZIFFER
V338          338  VATER: BERUF; ISCO 1968
V339          339  VATER: BERUFSUNTERGRUPPE I68
V340          340  VATER: BERUFSHAUPTGRUPPE I68
V341          341  VATER: TREIMANPRESTIGE I68
V342          342  VATER: TREIMANPRESTIGE I68, KATEG.
V343          343  VATER: MAGNITUDEPRESTIGE I68
V344          344  VATER: MAGNITUDEPRESTIGE I68, KATEG.
V345          345  VATER: ISEI NACH GANZEBOOM I68
V346          346  VATER: ISEI NACH GANZEBOOM I68, KATEG.
V347          347  VATER: GOLDTHORPEKLASSEN I68
V348          348  VATER: BERUF; ISCO 1988
V349          349  VATER: SIOPS I88
V350          350  VATER: SIOPS I88, KATEGORISIERT
V351          351  VATER: MAGNITUDEPRESTIGE I88
V352          352  VATER: MAGNITUDEPRESTIGE I88, KATEG.
V353          353  VATER: ISEI NACH GANZEBOOM I88
V354          354  VATER: ISEI NACH GANZEBOOM I88, KATEG.
V355          355  MUTTER: BERUFLICHE STELLUNG
V356          356  MUTTER: BERUFLICHE STELLUNG, KENNZIFFER
V357          357  MUTTER: BERUF, DAMALS; ISCO 1968
V358          358  MUTTER: DAMALIGE BERUFSUNTERGRUPPE I68
V359          359  MUTTER: DAMALIGE BERUFSHAUPTGRUPPE I68
V360          360  MUTTER: TREIMANPRESTIGE I68
V361          361  MUTTER: TREIMANPRESTIGE I68, KATEG.
V362          362  MUTTER: MAGNITUDEPRESTIGE I68
V363          363  MUTTER: MAGNITUDEPRESTIGE I68, KATEG.
V364          364  MUTTER: ISEI NACH GANZEBOOM I68
V365          365  MUTTER: ISEI NACH GANZEBOOM I68, KATEG.
V366          366  MUTTER: GOLDTHORPEKLASSEN I68
V367          367  MUTTER: BERUF, DAMALS; ISCO 1988
V368          368  MUTTER: SIOPS I88
V369          369  MUTTER: SIOPS I88, KATEGORISIERT
V370          370  MUTTER: MAGNITUDEPRESTIGE I88
V371          371  MUTTER: MAGNITUDEPRESTIGE I88, KATEG.
V372          372  MUTTER: ISEI NACH GANZEBOOM I88
V373          373  MUTTER: ISEI NACH GANZEBOOM I88, KATEG.
V374          374  VATER: ALLGEMEINER SCHULABSCHLUSS
V375          375  MUTTER: ALLGEMEINER SCHULABSCHLUSS
V376          376  VATER: BERUFSAUSBILDUNG, HOECHST.ABSCHL.
V377          377  MUTTER: BERUFSAUSBILDUNG,HOECHST.ABSCHL.
V378          378  GEMEINS.HH.: WER BEREITET MAHLZEITEN ZU?
V379          379  GEMEINS.HH.: WER KAUFT LEBENSMITTEL EIN
V380          380  GEMEINS.HAUSH.: WER MACHT REPARATUREN?
V381          381  GEMEINS.HAUSH.: WER WAESCHT DIE WAESCHE?
V382          382  GEM.HH.:WER ERLEDIGT VERSICHERUNGSSACHEN
V383          383  GEMEINS.HAUSH.:WER SPUELT NACH DEM ESSEN
V384          384  GEMEINS.HAUSHALT: WER PUTZT DIE WOHNUNG?
V385          385  GEMEINS.HAUSHALT: KONTAKTE ZU BEHOERDEN?
V386          386  BEFR.: NETTOEINKOMMEN, OFFENE ABFRAGE
V387          387  BEFR.: NETTOEINKOMMEN, LISTENABFRAGE
V388          388  BFR.:NETTOEINKOMMEN<OFFENE+LISTENANGABE>
V389          389  NETTOEINKOMMEN<OFFENE+LISTENANGABE>,KAT.
V390          390  MEHRPERSONENHAUSHALT?
V391          391  MEHR ALS 8 HAUSHALTSPERSONEN?
V392          392  ANZAHL WEITERER HAUSHALTSPERSONEN
V393          393  ANZAHL DER HAUSHALTSPERSONEN
V394          394  REDUZIERTE HAUSHALTSGROESSE
V395          395  2.HAUSHALTSPERSON:VERWANDTSCHAFT Z.BEFR.
V396          396  2.HAUSH.PERSON: GESCHLECHT
V397          397  2.HAUSH.PERSON: GEBURTSMONAT
V398          398  2.HAUSH.PERSON: GEBURTSJAHR
V399          399  2.HAUSH.PERSON: ALTER
V400          400  2.HAUSH.PERSON: ALTER, KAT.
V401          401  2.HAUSH.PERSON: FAMILIENSTAND
V402          402  3.HAUSHALTSPERSON:VERWANDTSCHAFT Z.BEFR.
V403          403  3.HAUSH.PERSON: GESCHLECHT
V404          404  3.HAUSH.PERSON: GEBURTSMONAT
V405          405  3.HAUSH.PERSON: GEBURTSJAHR
V406          406  3.HAUSH.PERSON: ALTER
V407          407  3.HAUSH.PERSON: ALTER, KAT.
V408          408  3.HAUSH.PERSON: FAMILIENSTAND
V409          409  4.HAUSHALTSPERSON:VERWANDTSCHAFT Z.BEFR.
V410          410  4.HAUSH.PERSON: GESCHLECHT
V411          411  4.HAUSH.PERSON: GEBURTSMONAT
V412          412  4.HAUSH.PERSON: GEBURTSJAHR
V413          413  4.HAUSH.PERSON: ALTER
V414          414  4.HAUSH.PERSON: ALTER, KAT.
V415          415  4.HAUSH.PERSON: FAMILIENSTAND
